SG=105.215
 name=P4_2m'c'
 nsym=8
 spinor=True
symmetries=
    1 0 0 0 1 0 0 0 1    0 0 0     1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0  1
  -1 0 0 0 -1 0 0 0 1    0 0 0    1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5  1
 0 -1 0 1 0 0 0 0 1    0 0 0.5  1.0 0.0 0.0 1.0    -0.25 0.0 0.0 0.25  1
 0 1 0 -1 0 0 0 0 1    0 0 0.5  1.0 0.0 0.0 1.0    0.25 0.0 0.0 -0.25  1
   1 0 0 0 -1 0 0 0 1    0 0 0     0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0 -1
   -1 0 0 0 1 0 0 0 1    0 0 0   0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0 -1
0 -1 0 -1 0 0 0 0 1    0 0 0.5 0.0 1.0 1.0 0.0    0.0 -0.75 -0.25 0.0 -1
  0 1 0 1 0 0 0 0 1    0 0 0.5   0.0 1.0 1.0 0.0    0.0 0.75 0.25 0.0 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4
-GM5  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 0.75000 -0.75000
-GM6  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 -0.25000 0.25000
-GM7  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 -0.75000 0.75000
-GM8  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 0.25000 -0.25000



 kpoint  A : 0.500000 0.500000 0.500000  : 1 2 3 4
-A5A6  2    2.00000 2.00000 0.00000 0.00000 0.00000 -0.50000 0.00000 0.00000
-A7A8  2    2.00000 2.00000 0.00000 0.00000 0.00000 0.50000 0.00000 0.00000



 kpoint  M : 0.500000 0.500000 0.000000  : 1 2 3 4
-M5  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 0.75000 -0.75000
-M6  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 -0.25000 0.25000
-M7  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 -0.75000 0.75000
-M8  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 0.25000 -0.25000



 kpoint  R : 0.000000 0.500000 0.500000  : 1 2
-R3  1    1.00000 1.00000 0.00000 -0.50000
-R4  1    1.00000 1.00000 0.00000 0.50000



 kpoint  X : 0.000000 0.500000 0.000000  : 1 2
-X3  1    1.00000 1.00000 0.00000 -0.50000
-X4  1    1.00000 1.00000 0.00000 0.50000



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2 3 4
-Z5Z6  2    2.00000 2.00000 0.00000 0.00000 0.00000 -0.50000 0.00000 0.00000
-Z7Z8  2    2.00000 2.00000 0.00000 0.00000 0.00000 0.50000 0.00000 0.00000
