SG=122.337
 name=I-42'd'
 nsym=8
 spinor=True
symmetries=
       1 0 0 0 1 0 0 0 1    0 0 0     1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0  1
     -1 0 0 0 -1 0 0 0 1    0 0 0    1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5  1
     0 1 0 -1 0 0 0 0 -1    0 0 0  1.0 0.0 0.0 1.0    -0.25 0.0 0.0 0.25  1
     0 -1 0 1 0 0 0 0 -1    0 0 0  1.0 0.0 0.0 1.0    0.25 0.0 0.0 -0.25  1
-1 0 0 0 1 0 0 0 -1    0 0.5 0.25     0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0 -1
1 0 0 0 -1 0 0 0 -1    0 0.5 0.25   0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0 -1
0 -1 0 -1 0 0 0 0 1    0 0.5 0.25 0.0 1.0 1.0 0.0    0.0 -0.75 -0.25 0.0 -1
  0 1 0 1 0 0 0 0 1    0 0.5 0.25   0.0 1.0 1.0 0.0    0.0 0.75 0.25 0.0 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4
-GM5  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 0.75000 -0.75000
-GM6  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 -0.25000 0.25000
-GM7  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 -0.75000 0.75000
-GM8  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 0.25000 -0.25000



 kpoint  M : 1.000000 1.000000 1.000000  : 1 2 3 4
-M5M6  2    2.00000 2.00000 0.00000 0.00000 0.00000 -0.50000 0.00000 0.00000
-M7M8  2    2.00000 2.00000 0.00000 0.00000 0.00000 0.50000 0.00000 0.00000



 kpoint  N : 0.500000 0.000000 0.500000  : 1
-N2  1    1.00000



 kpoint  P : 0.500000 0.500000 0.500000  : 1 2 3 4
-P5  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 0.75000 -0.75000
-P6  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 -0.25000 0.25000
-P7  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 -0.75000 0.75000
-P8  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 0.25000 -0.25000



 kpoint  PA : 0.500000 -0.500000 0.500000  : 1 2 3 4
-PA5  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 -0.75000 0.75000
-PA6  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 0.25000 -0.25000
-PA7  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 0.75000 -0.75000
-PA8  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 -0.25000 0.25000



 kpoint  X : 0.500000 0.500000 0.000000  : 1 2
-X3X4  2    2.00000 0.00000
