SG=165.94
 name=P-3'c'1
 nsym=12
 spinor=True
symmetries=
     1 0 0 0 1 0 0 0 1    0 0 0                                 1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0  1
   0 -1 0 1 -1 0 0 0 1    0 0 0  1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 -0.3333333333333333  1
   -1 1 0 -1 0 0 0 0 1    0 0 0  1.0 0.0 0.0 1.0    -0.3333333333333333 0.0 0.0 0.3333333333333333  1
  0 1 0 1 0 0 0 0 -1    0 0 0.5 0.0 1.0 1.0 0.0    0.0 -0.6666666666666667 -0.3333333333333333 0.0  1
1 -1 0 0 -1 0 0 0 -1    0 0 0.5                                 0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0  1
-1 0 0 -1 1 0 0 0 -1    0 0 0.5   0.0 1.0 1.0 0.0    0.0 0.6666666666666667 0.3333333333333333 0.0  1
  -1 0 0 0 -1 0 0 0 -1    0 0 0                                 1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0 -1
   0 1 0 -1 1 0 0 0 -1    0 0 0  1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 -0.3333333333333333 -1
   1 -1 0 1 0 0 0 0 -1    0 0 0  1.0 0.0 0.0 1.0    -0.3333333333333333 0.0 0.0 0.3333333333333333 -1
 0 -1 0 -1 0 0 0 0 1    0 0 0.5 0.0 1.0 1.0 0.0    0.0 -0.6666666666666667 -0.3333333333333333 0.0 -1
  -1 1 0 0 1 0 0 0 1    0 0 0.5                                 0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0 -1
  1 0 0 1 -1 0 0 0 1    0 0 0.5   0.0 1.0 1.0 0.0    0.0 0.6666666666666667 0.3333333333333333 0.0 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6
-GM4GM5  2    2.00000 -2.00000 -2.00000 0.00000 0.00000 0.00000
-GM6  2    2.00000 1.00000 1.00000 0.00000 0.00000 0.00000



 kpoint  A : 0.000000 0.000000 0.500000  : 1 2 3 4 5 6
-A4A4  2    2.00000 2.00000 2.00000 2.00000 2.00000 2.00000 0.00000 -1.00000 -1.00000 -0.50000 0.50000 -0.50000
-A5A5  2    2.00000 2.00000 2.00000 2.00000 2.00000 2.00000 0.00000 -1.00000 -1.00000 0.50000 -0.50000 0.50000
-A6A6  4    4.00000 2.00000 2.00000 0.00000 0.00000 0.00000



 kpoint  H : 0.333333 0.333333 0.500000  : 1 2 3 4 5 6
-H4H4  2    2.00000 2.00000 2.00000 2.00000 2.00000 2.00000 0.00000 -1.00000 -1.00000 -0.50000 0.50000 -0.50000
-H5H5  2    2.00000 2.00000 2.00000 2.00000 2.00000 2.00000 0.00000 -1.00000 -1.00000 0.50000 -0.50000 0.50000
-H6H6  4    4.00000 2.00000 2.00000 0.00000 0.00000 0.00000



 kpoint  HA : -0.333333 -0.333333 -0.500000  : 1 2 3 4 5 6
-HA4HA4  2    2.00000 2.00000 2.00000 2.00000 2.00000 2.00000 0.00000 -1.00000 -1.00000 0.50000 -0.50000 0.50000
-HA5HA5  2    2.00000 2.00000 2.00000 2.00000 2.00000 2.00000 0.00000 -1.00000 -1.00000 -0.50000 0.50000 -0.50000
-HA6HA6  4    4.00000 2.00000 2.00000 0.00000 0.00000 0.00000



 kpoint  K : 0.333333 0.333333 0.000000  : 1 2 3 4 5 6
-K4K5  2    2.00000 -2.00000 -2.00000 0.00000 0.00000 0.00000
-K6  2    2.00000 1.00000 1.00000 0.00000 0.00000 0.00000



 kpoint  KA : -0.333333 -0.333333 0.000000  : 1 2 3 4 5 6
-KA4KA5  2    2.00000 -2.00000 -2.00000 0.00000 0.00000 0.00000
-KA6  2    2.00000 1.00000 1.00000 0.00000 0.00000 0.00000



 kpoint  L : 0.500000 0.000000 0.500000  : 1 6
-L3L3  2    2.00000 2.00000 0.00000 -0.50000
-L4L4  2    2.00000 2.00000 0.00000 0.50000



 kpoint  M : 0.500000 0.000000 0.000000  : 1 6
-M3M4  2    2.00000 0.00000
