SG=17.12
 name=P_c222_1
 nsym=8
 spinor=True
symmetries=
    1 0 0 0 1 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0  1
-1 0 0 0 -1 0 0 0 1    0 0 0.5  1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5  1
-1 0 0 0 1 0 0 0 -1    0 0 0.5   0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0  1
  1 0 0 0 -1 0 0 0 -1    0 0 0 0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0  1
  1 0 0 0 1 0 0 0 1    0 0 0.5   1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0 -1
  -1 0 0 0 -1 0 0 0 1    0 0 0  1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5 -1
  -1 0 0 0 1 0 0 0 -1    0 0 0   0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0 -1
1 0 0 0 -1 0 0 0 -1    0 0 0.5 0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4
-GM5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  R : 0.500000 0.500000 0.500000  : 1 2 3 4
-R2  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.00000 -0.50000 -0.50000
-R3  1    1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 0.50000 -0.50000
-R4  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.00000 0.50000 0.50000
-R5  1    1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 -0.50000 0.50000



 kpoint  S : 0.500000 0.500000 0.000000  : 1 2 3 4
-S5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  T : 0.000000 0.500000 0.500000  : 1 2 3 4
-T2  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.00000 -0.50000 -0.50000
-T3  1    1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 0.50000 -0.50000
-T4  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.00000 0.50000 0.50000
-T5  1    1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 -0.50000 0.50000



 kpoint  U : 0.500000 0.000000 0.500000  : 1 2 3 4
-U2  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.00000 -0.50000 -0.50000
-U3  1    1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 0.50000 -0.50000
-U4  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.00000 0.50000 0.50000
-U5  1    1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 -0.50000 0.50000



 kpoint  X : 0.500000 0.000000 0.000000  : 1 2 3 4
-X5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  Y : 0.000000 0.500000 0.000000  : 1 2 3 4
-Y5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2 3 4
-Z2  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.00000 -0.50000 -0.50000
-Z3  1    1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 0.50000 -0.50000
-Z4  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.00000 0.50000 0.50000
-Z5  1    1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 -0.50000 0.50000
