SG=171.123
 name=P6_2'
 nsym=6
 spinor=True
symmetries=
                   1 0 0 0 1 0 0 0 1    0 0 0                                  1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0  1
0 -1 0 1 -1 0 0 0 1    0 0 0.6666666666666666   1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 -0.3333333333333333  1
-1 1 0 -1 0 0 0 0 1    0 0 0.3333333333333333   1.0 0.0 0.0 1.0    -0.3333333333333333 0.0 0.0 0.3333333333333333  1
                 -1 0 0 0 -1 0 0 0 1    0 0 0                                 1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5 -1
 0 1 0 -1 1 0 0 0 1    0 0 0.6666666666666666 1.0 0.0 0.0 1.0    -0.16666666666666669 0.0 0.0 0.16666666666666669 -1
 1 -1 0 1 0 0 0 0 1    0 0 0.3333333333333333 1.0 0.0 0.0 1.0    0.16666666666666669 0.0 0.0 -0.16666666666666669 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3
-GM4  1    1.00000 -1.00000 -1.00000
-GM5GM6  2    2.00000 1.00000 1.00000



 kpoint  A : 0.000000 0.000000 0.500000  : 1 2 3
-A4A5  2    2.00000 1.00000 -1.00000
-A6  1    1.00000 -1.00000 1.00000



 kpoint  H : 0.333333 0.333333 0.500000  : 1 2 3
-H4  1    1.00000 -1.00000 1.00000
-H5H6  2    2.00000 1.00000 -1.00000



 kpoint  HA : -0.333333 -0.333333 -0.500000  : 1 2 3
-HA4  1    1.00000 -1.00000 1.00000
-HA5HA6  2    2.00000 1.00000 -1.00000



 kpoint  K : 0.333333 0.333333 0.000000  : 1 2 3
-K4  1    1.00000 -1.00000 -1.00000
-K5K6  2    2.00000 1.00000 1.00000



 kpoint  KA : -0.333333 -0.333333 0.000000  : 1 2 3
-KA4  1    1.00000 -1.00000 -1.00000
-KA5KA6  2    2.00000 1.00000 1.00000



 kpoint  L : 0.500000 0.000000 0.500000  : 1
-L2  1    1.00000



 kpoint  M : 0.500000 0.000000 0.000000  : 1
-M2  1    1.00000
