SG=180.170
 name=P6_2'22'
 nsym=12
 spinor=True
symmetries=
                    1 0 0 0 1 0 0 0 1    0 0 0                                  1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0  1
 0 -1 0 1 -1 0 0 0 1    0 0 0.6666666666666666   1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 -0.3333333333333333  1
 -1 1 0 -1 0 0 0 0 1    0 0 0.3333333333333333   1.0 0.0 0.0 1.0    -0.3333333333333333 0.0 0.0 0.3333333333333333  1
  0 1 0 1 0 0 0 0 -1    0 0 0.6666666666666666  0.0 1.0 1.0 0.0    0.0 -0.6666666666666667 -0.3333333333333333 0.0  1
                 1 -1 0 0 -1 0 0 0 -1    0 0 0                                  0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0  1
-1 0 0 -1 1 0 0 0 -1    0 0 0.3333333333333333    0.0 1.0 1.0 0.0    0.0 0.6666666666666667 0.3333333333333333 0.0  1
                  -1 0 0 0 -1 0 0 0 1    0 0 0                                 1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5 -1
  0 1 0 -1 1 0 0 0 1    0 0 0.6666666666666666 1.0 0.0 0.0 1.0    -0.16666666666666669 0.0 0.0 0.16666666666666669 -1
  1 -1 0 1 0 0 0 0 1    0 0 0.3333333333333333 1.0 0.0 0.0 1.0    0.16666666666666669 0.0 0.0 -0.16666666666666669 -1
0 -1 0 -1 0 0 0 0 -1    0 0 0.6666666666666666   0.0 1.0 1.0 0.0    0.0 0.8333333333333334 0.16666666666666669 0.0 -1
                  -1 1 0 0 1 0 0 0 -1    0 0 0                                0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0 -1
 1 0 0 1 -1 0 0 0 -1    0 0 0.3333333333333333   0.0 1.0 1.0 0.0    0.0 0.16666666666666669 0.8333333333333334 0.0 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6
-GM4  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 -1.00000 -0.50000 0.50000 -0.50000
-GM5  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 -1.00000 0.50000 -0.50000 0.50000
-GM6  2    2.00000 1.00000 1.00000 0.00000 0.00000 0.00000



 kpoint  A : 0.000000 0.000000 0.500000  : 1 2 3 4 5 6
-A4  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 0.00000 0.50000 -0.50000 -0.50000
-A5  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 0.00000 -0.50000 0.50000 0.50000
-A6  2    2.00000 1.00000 -1.00000 0.00000 0.00000 0.00000



 kpoint  H : 0.333333 0.333333 0.500000  : 1 2 3 4 5 6
-H4  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 0.00000 0.50000 -0.50000 -0.50000
-H5  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 0.00000 -0.50000 0.50000 0.50000
-H6  2    2.00000 1.00000 -1.00000 0.00000 0.00000 0.00000



 kpoint  HA : -0.333333 -0.333333 0.500000  : 1 2 3 4 5 6
-HA4  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 0.00000 -0.50000 0.50000 0.50000
-HA5  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 0.00000 0.50000 -0.50000 -0.50000
-HA6  2    2.00000 1.00000 -1.00000 0.00000 0.00000 0.00000



 kpoint  K : 0.333333 0.333333 0.000000  : 1 2 3 4 5 6
-K4  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 -1.00000 -0.50000 0.50000 -0.50000
-K5  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 -1.00000 0.50000 -0.50000 0.50000
-K6  2    2.00000 1.00000 1.00000 0.00000 0.00000 0.00000



 kpoint  KA : -0.333333 -0.333333 0.000000  : 1 2 3 4 5 6
-KA4  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 -1.00000 0.50000 -0.50000 0.50000
-KA5  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 -1.00000 -0.50000 0.50000 -0.50000
-KA6  2    2.00000 1.00000 1.00000 0.00000 0.00000 0.00000



 kpoint  L : 0.500000 0.000000 0.500000  : 1 6
-L3  1    1.00000 1.00000 0.00000 -0.50000
-L4  1    1.00000 1.00000 0.00000 0.50000



 kpoint  M : 0.500000 0.000000 0.000000  : 1 6
-M3  1    1.00000 1.00000 0.00000 -0.50000
-M4  1    1.00000 1.00000 0.00000 0.50000
