SG=181.173
 name=P6_422
 nsym=12
 spinor=False
symmetries=
                    1 0 0 0 1 0 0 0 1    0 0 0 1
 0 -1 0 1 -1 0 0 0 1    0 0 0.3333333333333333 1
 -1 1 0 -1 0 0 0 0 1    0 0 0.6666666666666666 1
                  -1 0 0 0 -1 0 0 0 1    0 0 0 1
  0 1 0 -1 1 0 0 0 1    0 0 0.3333333333333333 1
  1 -1 0 1 0 0 0 0 1    0 0 0.6666666666666666 1
  0 1 0 1 0 0 0 0 -1    0 0 0.3333333333333333 1
                 1 -1 0 0 -1 0 0 0 -1    0 0 0 1
-1 0 0 -1 1 0 0 0 -1    0 0 0.6666666666666666 1
0 -1 0 -1 0 0 0 0 -1    0 0 0.3333333333333333 1
                  -1 1 0 0 1 0 0 0 -1    0 0 0 1
 1 0 0 1 -1 0 0 0 -1    0 0 0.6666666666666666 1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6 7 8 9 10 11 12
GM1  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
GM2  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000
GM3  1    1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000
GM4  1    1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000
GM5  2    2.00000 -1.00000 -1.00000 2.00000 -1.00000 -1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
GM6  2    2.00000 -1.00000 -1.00000 -2.00000 1.00000 1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000



 kpoint  A : 0.000000 0.000000 0.500000  : 1 2 3 4 5 6 7 8 9 10 11 12
A1  1    1.00000 -1.00000 1.00000 1.00000 -1.00000 1.00000 -1.00000 1.00000 1.00000 -1.00000 1.00000 1.00000
A2  1    1.00000 -1.00000 1.00000 1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000 1.00000 -1.00000 -1.00000
A3  1    1.00000 -1.00000 1.00000 -1.00000 1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000
A4  1    1.00000 -1.00000 1.00000 -1.00000 1.00000 -1.00000 1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000
A5  2    2.00000 1.00000 -1.00000 2.00000 1.00000 -1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
A6  2    2.00000 1.00000 -1.00000 -2.00000 -1.00000 1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000



 kpoint  H : 0.333333 0.333333 0.500000  : 1 2 3 7 8 9
H1  1    1.00000 -1.00000 1.00000 -1.00000 1.00000 1.00000
H2  1    1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000
H3  2    2.00000 1.00000 -1.00000 0.00000 0.00000 0.00000



 kpoint  K : 0.333333 0.333333 0.000000  : 1 2 3 7 8 9
K1  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
K2  1    1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000
K3  2    2.00000 -1.00000 -1.00000 0.00000 0.00000 0.00000



 kpoint  L : 0.500000 0.000000 0.500000  : 1 4 9 12
L1  1    1.00000 1.00000 1.00000 1.00000
L2  1    1.00000 1.00000 -1.00000 -1.00000
L3  1    1.00000 -1.00000 1.00000 -1.00000
L4  1    1.00000 -1.00000 -1.00000 1.00000



 kpoint  M : 0.500000 0.000000 0.000000  : 1 4 9 12
M1  1    1.00000 1.00000 1.00000 1.00000
M2  1    1.00000 1.00000 -1.00000 -1.00000
M3  1    1.00000 -1.00000 1.00000 -1.00000
M4  1    1.00000 -1.00000 -1.00000 1.00000
