SG=19.26
 name=P2_12_12_11'
 nsym=8
 spinor=True
symmetries=
      1 0 0 0 1 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0  1
-1 0 0 0 -1 0 0 0 1    0.5 0 0.5  1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5  1
-1 0 0 0 1 0 0 0 -1    0 0.5 0.5   0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0  1
1 0 0 0 -1 0 0 0 -1    0.5 0.5 0 0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0  1
      1 0 0 0 1 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0 -1
-1 0 0 0 -1 0 0 0 1    0.5 0 0.5  1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5 -1
-1 0 0 0 1 0 0 0 -1    0 0.5 0.5   0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0 -1
1 0 0 0 -1 0 0 0 -1    0.5 0.5 0 0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4
-GM5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  R : 0.500000 0.500000 0.500000  : 1 2 3 4
-R2R2  2    2.00000 2.00000 -2.00000 2.00000
-R3R3  2    2.00000 -2.00000 2.00000 2.00000
-R4R4  2    2.00000 2.00000 2.00000 -2.00000
-R5R5  2    2.00000 -2.00000 -2.00000 -2.00000



 kpoint  S : 0.500000 0.500000 0.000000  : 1 2 3 4
-S5S5  4    4.00000 0.00000 0.00000 0.00000



 kpoint  T : 0.000000 0.500000 0.500000  : 1 2 3 4
-T5T5  4    4.00000 0.00000 0.00000 0.00000



 kpoint  U : 0.500000 0.000000 0.500000  : 1 2 3 4
-U5U5  4    4.00000 0.00000 0.00000 0.00000



 kpoint  X : 0.500000 0.000000 0.000000  : 1 2 3 4
-X2X3  2    2.00000 0.00000 0.00000 2.00000
-X4X5  2    2.00000 0.00000 0.00000 -2.00000



 kpoint  Y : 0.000000 0.500000 0.000000  : 1 2 3 4
-Y2Y5  2    2.00000 0.00000 2.00000 0.00000
-Y3Y4  2    2.00000 0.00000 -2.00000 0.00000



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2 3 4
-Z2Z4  2    2.00000 2.00000 0.00000 0.00000
-Z3Z5  2    2.00000 -2.00000 0.00000 0.00000
