SG=19.29
 name=P_C2_12_12_1
 nsym=8
 spinor=True
symmetries=
      1 0 0 0 1 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0  1
-1 0 0 0 -1 0 0 0 1    0.5 0 0.5  1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5  1
-1 0 0 0 1 0 0 0 -1    0 0.5 0.5   0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0  1
1 0 0 0 -1 0 0 0 -1    0.5 0.5 0 0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0  1
  1 0 0 0 1 0 0 0 1    0.5 0.5 0   1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0 -1
-1 0 0 0 -1 0 0 0 1    0 0.5 0.5  1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5 -1
-1 0 0 0 1 0 0 0 -1    0.5 0 0.5   0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0 -1
    1 0 0 0 -1 0 0 0 -1    0 0 0 0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4
-GM5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  R : 0.500000 0.500000 0.500000  : 1 2 3 4
-R2R4  2    2.00000 2.00000 0.00000 0.00000
-R3R5  2    2.00000 -2.00000 0.00000 0.00000



 kpoint  S : 0.500000 0.500000 0.000000  : 1 2 3 4
-S5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  T : 0.000000 0.500000 0.500000  : 1 2 3 4
-T5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  U : 0.500000 0.000000 0.500000  : 1 2 3 4
-U5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  X : 0.500000 0.000000 0.000000  : 1 2 3 4
-X2  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 -0.50000 0.00000
-X3  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 0.50000 0.00000
-X4  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 0.50000 -1.00000
-X5  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 -0.50000 -1.00000



 kpoint  Y : 0.000000 0.500000 0.000000  : 1 2 3 4
-Y2  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 0.00000 -0.50000
-Y3  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 -1.00000 -0.50000
-Y4  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 -1.00000 0.50000
-Y5  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 0.00000 0.50000



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2 3 4
-Z2Z4  2    2.00000 2.00000 0.00000 0.00000
-Z3Z5  2    2.00000 -2.00000 0.00000 0.00000
