SG=23.51
 name=I2'2'2
 nsym=4
 spinor=True
symmetries=
  1 0 0 0 1 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0  1
-1 0 0 0 -1 0 0 0 1    0 0 0  1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5  1
-1 0 0 0 1 0 0 0 -1    0 0 0   0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0 -1
1 0 0 0 -1 0 0 0 -1    0 0 0 0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2
-GM3  1    1.00000 1.00000 0.00000 -0.50000
-GM4  1    1.00000 1.00000 0.00000 0.50000



 kpoint  R : -0.500000 0.000000 0.500000  : 1
-(R)L2  1    1.00000



 kpoint  S : 0.000000 -0.500000 0.500000  : 1
-(S)V2  1    1.00000



 kpoint  T : -0.500000 0.500000 -1.000000  : 1 2
-(T)M3  1    1.00000 1.00000 0.00000 -0.50000
-(T)M4  1    1.00000 1.00000 0.00000 0.50000



 kpoint  TA : -0.500000 -0.500000 -1.000000  : 1 2
-(TA)A3  1    1.00000 1.00000 0.00000 -0.50000
-(TA)A4  1    1.00000 1.00000 0.00000 0.50000



 kpoint  W : -0.500000 0.500000 -0.500000  : 1 2
-(W)U3  1    1.00000 1.00000 0.00000 -0.50000
-(W)U4  1    1.00000 1.00000 0.00000 0.50000



 kpoint  WA : -0.500000 -0.500000 -0.500000  : 1 2
-(WA)UA3  1    1.00000 1.00000 0.00000 0.50000
-(WA)UA4  1    1.00000 1.00000 0.00000 -0.50000



 kpoint  X : 1.000000 1.000000 1.000000  : 1 2
-(X)Y3  1    1.00000 1.00000 0.00000 -0.50000
-(X)Y4  1    1.00000 1.00000 0.00000 0.50000
