SG=3.4
 name=P_a2
 nsym=4
 spinor=True
symmetries=
    1 0 0 0 1 0 0 0 1    0 0 0 1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0  1
  -1 0 0 0 1 0 0 0 -1    0 0 0 0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0  1
  1 0 0 0 1 0 0 0 1    0.5 0 0 1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0 -1
-1 0 0 0 1 0 0 0 -1    0.5 0 0 0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2
-GM3GM4  2    2.00000 0.00000



 kpoint  A : 0.500000 0.000000 0.500000  : 1 2
-A3  1    1.00000 1.00000 0.00000 -0.50000
-A4  1    1.00000 1.00000 0.00000 0.50000



 kpoint  B : 0.000000 0.000000 0.500000  : 1 2
-B3B4  2    2.00000 0.00000



 kpoint  C : 0.500000 0.500000 0.000000  : 1 2
-C3  1    1.00000 1.00000 0.00000 -0.50000
-C4  1    1.00000 1.00000 0.00000 0.50000



 kpoint  D : 0.000000 0.500000 0.500000  : 1 2
-D3D4  2    2.00000 0.00000



 kpoint  E : 0.500000 0.500000 0.500000  : 1 2
-E3  1    1.00000 1.00000 0.00000 -0.50000
-E4  1    1.00000 1.00000 0.00000 0.50000



 kpoint  Y : 0.500000 0.000000 0.000000  : 1 2
-Y3  1    1.00000 1.00000 0.00000 -0.50000
-Y4  1    1.00000 1.00000 0.00000 0.50000



 kpoint  Z : 0.000000 0.500000 0.000000  : 1 2
-Z3Z4  2    2.00000 0.00000
