SG=40.203
 name=Ama2
 nsym=4
 spinor=True
symmetries=
   1 0 0 0 1 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0 1
 -1 0 0 0 -1 0 0 0 1    0 0 0  1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5 1
1 0 0 0 -1 0 0 0 1    0.5 0 0   0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0 1
-1 0 0 0 1 0 0 0 1    0.5 0 0 0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0 1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4
-GM5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  R : 0.500000 0.500000 -0.500000  : 1 4
-R3  1    1.00000 1.00000 0.00000 -0.50000
-R4  1    1.00000 1.00000 0.00000 0.50000



 kpoint  S : 0.000000 0.500000 -0.500000  : 1 4
-S3  1    1.00000 1.00000 0.00000 -0.50000
-S4  1    1.00000 1.00000 0.00000 0.50000



 kpoint  T : 0.500000 0.000000 -1.000000  : 1 2 3 4
-T2  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 0.00000 -0.50000
-T3  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 -1.00000 -0.50000
-T4  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 -1.00000 0.50000
-T5  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 0.00000 0.50000



 kpoint  Y : 0.000000 0.000000 -1.000000  : 1 2 3 4
-Y5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  Z : 0.500000 0.000000 0.000000  : 1 2 3 4
-Z2  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 0.00000 -0.50000
-Z3  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 -1.00000 -0.50000
-Z4  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 -1.00000 0.50000
-Z5  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 0.00000 0.50000
