SG=47.249
 name=Pmmm
 nsym=8
 spinor=False
symmetries=
   1 0 0 0 1 0 0 0 1    0 0 0 1
 -1 0 0 0 -1 0 0 0 1    0 0 0 1
 -1 0 0 0 1 0 0 0 -1    0 0 0 1
 1 0 0 0 -1 0 0 0 -1    0 0 0 1
-1 0 0 0 -1 0 0 0 -1    0 0 0 1
  1 0 0 0 1 0 0 0 -1    0 0 0 1
  1 0 0 0 -1 0 0 0 1    0 0 0 1
  -1 0 0 0 1 0 0 0 1    0 0 0 1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6 7 8
GM1+  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
GM1-  1    1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000
GM2+  1    1.00000 1.00000 -1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000
GM2-  1    1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000
GM3+  1    1.00000 -1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000 1.00000
GM3-  1    1.00000 -1.00000 -1.00000 1.00000 -1.00000 1.00000 1.00000 -1.00000
GM4+  1    1.00000 -1.00000 1.00000 -1.00000 1.00000 -1.00000 1.00000 -1.00000
GM4-  1    1.00000 -1.00000 1.00000 -1.00000 -1.00000 1.00000 -1.00000 1.00000



 kpoint  R : 0.500000 0.500000 0.500000  : 1 2 3 4 5 6 7 8
R1+  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
R1-  1    1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000
R2+  1    1.00000 1.00000 -1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000
R2-  1    1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000
R3+  1    1.00000 -1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000 1.00000
R3-  1    1.00000 -1.00000 -1.00000 1.00000 -1.00000 1.00000 1.00000 -1.00000
R4+  1    1.00000 -1.00000 1.00000 -1.00000 1.00000 -1.00000 1.00000 -1.00000
R4-  1    1.00000 -1.00000 1.00000 -1.00000 -1.00000 1.00000 -1.00000 1.00000



 kpoint  S : 0.500000 0.500000 0.000000  : 1 2 3 4 5 6 7 8
S1+  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
S1-  1    1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000
S2+  1    1.00000 1.00000 -1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000
S2-  1    1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000
S3+  1    1.00000 -1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000 1.00000
S3-  1    1.00000 -1.00000 -1.00000 1.00000 -1.00000 1.00000 1.00000 -1.00000
S4+  1    1.00000 -1.00000 1.00000 -1.00000 1.00000 -1.00000 1.00000 -1.00000
S4-  1    1.00000 -1.00000 1.00000 -1.00000 -1.00000 1.00000 -1.00000 1.00000



 kpoint  T : 0.000000 0.500000 0.500000  : 1 2 3 4 5 6 7 8
T1+  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
T1-  1    1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000
T2+  1    1.00000 1.00000 -1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000
T2-  1    1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000
T3+  1    1.00000 -1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000 1.00000
T3-  1    1.00000 -1.00000 -1.00000 1.00000 -1.00000 1.00000 1.00000 -1.00000
T4+  1    1.00000 -1.00000 1.00000 -1.00000 1.00000 -1.00000 1.00000 -1.00000
T4-  1    1.00000 -1.00000 1.00000 -1.00000 -1.00000 1.00000 -1.00000 1.00000



 kpoint  U : 0.500000 0.000000 0.500000  : 1 2 3 4 5 6 7 8
U1+  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
U1-  1    1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000
U2+  1    1.00000 1.00000 -1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000
U2-  1    1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000
U3+  1    1.00000 -1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000 1.00000
U3-  1    1.00000 -1.00000 -1.00000 1.00000 -1.00000 1.00000 1.00000 -1.00000
U4+  1    1.00000 -1.00000 1.00000 -1.00000 1.00000 -1.00000 1.00000 -1.00000
U4-  1    1.00000 -1.00000 1.00000 -1.00000 -1.00000 1.00000 -1.00000 1.00000



 kpoint  X : 0.500000 0.000000 0.000000  : 1 2 3 4 5 6 7 8
X1+  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
