SG=57.380
 name=Pbc'm
 nsym=8
 spinor=True
symmetries=
      1 0 0 0 1 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0  1
-1 0 0 0 1 0 0 0 -1    0 0.5 0.5   0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0  1
   1 0 0 0 1 0 0 0 -1    0 0 0.5  1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5  1
   -1 0 0 0 1 0 0 0 1    0 0.5 0 0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0  1
  -1 0 0 0 -1 0 0 0 1    0 0 0.5  1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5 -1
  1 0 0 0 -1 0 0 0 -1    0 0.5 0 0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0 -1
   -1 0 0 0 -1 0 0 0 -1    0 0 0   1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0 -1
 1 0 0 0 -1 0 0 0 1    0 0.5 0.5   0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4
-GM5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  R : 0.500000 0.500000 0.500000  : 1 2 3 4
-R5R5  4    4.00000 0.00000 0.00000 0.00000



 kpoint  S : 0.500000 0.500000 0.000000  : 1 2 3 4
-(S)T5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  T : 0.000000 0.500000 0.500000  : 1 2 3 4
-(T)U5U5  4    4.00000 0.00000 0.00000 0.00000



 kpoint  U : 0.500000 0.000000 0.500000  : 1 2 3 4
-(U)S5S5  4    4.00000 0.00000 0.00000 0.00000



 kpoint  X : 0.500000 0.000000 0.000000  : 1 2 3 4
-(X)Y5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  Y : 0.000000 0.500000 0.000000  : 1 2 3 4
-(Y)Z5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2 3 4
-(Z)X5X5  4    4.00000 0.00000 0.00000 0.00000
