SG=59.407
 name=Pm'mn
 nsym=8
 spinor=True
symmetries=
      1 0 0 0 1 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0  1
  1 0 0 0 -1 0 0 0 -1    0.5 0 0 0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0  1
 1 0 0 0 1 0 0 0 -1    0.5 0.5 0  1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5  1
   1 0 0 0 -1 0 0 0 1    0 0.5 0   0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0  1
-1 0 0 0 -1 0 0 0 1    0.5 0.5 0  1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5 -1
  -1 0 0 0 1 0 0 0 -1    0 0.5 0   0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0 -1
   -1 0 0 0 -1 0 0 0 -1    0 0 0   1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0 -1
   -1 0 0 0 1 0 0 0 1    0.5 0 0 0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4
-GM5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  R : 0.500000 0.500000 0.500000  : 1 2 3 4
-R2R3  2    2.00000 0.00000 0.00000 2.00000 0.00000 0.00000 0.00000 -0.50000
-R4R5  2    2.00000 0.00000 0.00000 2.00000 0.00000 0.00000 0.00000 0.50000



 kpoint  S : 0.500000 0.500000 0.000000  : 1 2 3 4
-(S)U2U3  2    2.00000 0.00000 0.00000 2.00000 0.00000 0.00000 0.00000 -0.50000
-(S)U4U5  2    2.00000 0.00000 0.00000 2.00000 0.00000 0.00000 0.00000 0.50000



 kpoint  T : 0.000000 0.500000 0.500000  : 1 2 3 4
-(T)S2S3  2    2.00000 0.00000 0.00000 2.00000 0.00000 0.00000 0.00000 -0.50000
-(T)S4S5  2    2.00000 0.00000 0.00000 2.00000 0.00000 0.00000 0.00000 0.50000



 kpoint  U : 0.500000 0.000000 0.500000  : 1 2 3 4
-(U)T5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  X : 0.500000 0.000000 0.000000  : 1 2 3 4
-(X)Z5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  Y : 0.000000 0.500000 0.000000  : 1 2 3 4
-(Y)X2X3  2    2.00000 0.00000 0.00000 2.00000 0.00000 0.00000 0.00000 -0.50000
-(Y)X4X5  2    2.00000 0.00000 0.00000 2.00000 0.00000 0.00000 0.00000 0.50000



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2 3 4
-(Z)Y5  2    2.00000 0.00000 0.00000 0.00000
