SG=90.98
 name=P42_1'2'
 nsym=8
 spinor=True
symmetries=
      1 0 0 0 1 0 0 0 1    0 0 0     1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0  1
    -1 0 0 0 -1 0 0 0 1    0 0 0    1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5  1
 0 -1 0 1 0 0 0 0 1    0.5 0.5 0  1.0 0.0 0.0 1.0    -0.25 0.0 0.0 0.25  1
 0 1 0 -1 0 0 0 0 1    0.5 0.5 0  1.0 0.0 0.0 1.0    0.25 0.0 0.0 -0.25  1
-1 0 0 0 1 0 0 0 -1    0.5 0.5 0     0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0 -1
1 0 0 0 -1 0 0 0 -1    0.5 0.5 0   0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0 -1
     0 1 0 1 0 0 0 0 -1    0 0 0 0.0 1.0 1.0 0.0    0.0 -0.75 -0.25 0.0 -1
   0 -1 0 -1 0 0 0 0 -1    0 0 0   0.0 1.0 1.0 0.0    0.0 0.75 0.25 0.0 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4
-GM5  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 0.75000 -0.75000
-GM6  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 -0.25000 0.25000
-GM7  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 -0.75000 0.75000
-GM8  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 0.25000 -0.25000



 kpoint  A : 0.500000 0.500000 0.500000  : 1 2 3 4
-A5A6  2    2.00000 2.00000 0.00000 0.00000 0.00000 0.50000 0.00000 0.00000
-A7A8  2    2.00000 2.00000 0.00000 0.00000 0.00000 -0.50000 0.00000 0.00000



 kpoint  M : 0.500000 0.500000 0.000000  : 1 2 3 4
-M5M6  2    2.00000 2.00000 0.00000 0.00000 0.00000 0.50000 0.00000 0.00000
-M7M8  2    2.00000 2.00000 0.00000 0.00000 0.00000 -0.50000 0.00000 0.00000



 kpoint  R : 0.000000 0.500000 0.500000  : 1 2
-R3R4  2    2.00000 0.00000



 kpoint  X : 0.000000 0.500000 0.000000  : 1 2
-X3X4  2    2.00000 0.00000



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2 3 4
-Z5  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 0.75000 -0.75000
-Z6  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 -0.25000 0.25000
-Z7  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 -0.75000 0.75000
-Z8  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 0.25000 -0.25000
