SG=95.137
 name=P4_3'22'
 nsym=8
 spinor=True
symmetries=
      1 0 0 0 1 0 0 0 1    0 0 0     1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0  1
  -1 0 0 0 -1 0 0 0 1    0 0 0.5    1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5  1
    -1 0 0 0 1 0 0 0 -1    0 0 0     0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0  1
  1 0 0 0 -1 0 0 0 -1    0 0 0.5   0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0  1
  0 -1 0 1 0 0 0 0 1    0 0 0.75  1.0 0.0 0.0 1.0    -0.25 0.0 0.0 0.25 -1
  0 1 0 -1 0 0 0 0 1    0 0 0.25  1.0 0.0 0.0 1.0    0.25 0.0 0.0 -0.25 -1
  0 1 0 1 0 0 0 0 -1    0 0 0.25 0.0 1.0 1.0 0.0    0.0 -0.75 -0.25 0.0 -1
0 -1 0 -1 0 0 0 0 -1    0 0 0.75   0.0 1.0 1.0 0.0    0.0 0.75 0.25 0.0 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4
-GM5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  A : 0.500000 0.500000 0.500000  : 1 2 3 4
-(A)R2  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.00000 0.50000 -0.50000
-(A)R3R5  2    2.00000 -2.00000 0.00000 0.00000
-(A)R4  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.00000 -0.50000 0.50000



 kpoint  M : 0.500000 0.500000 0.000000  : 1 2 3 4
-(M)S5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  R : 0.000000 0.500000 0.500000  : 1 2 3 4
-(R)T2  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.00000 0.50000 -0.50000
-(R)T3  1    1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 -0.50000 -0.50000
-(R)T4  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.00000 -0.50000 0.50000
-(R)T5  1    1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 0.50000 0.50000



 kpoint  RA : -0.500000 0.000000 0.500000  : 1 2 3 4
-(RA)U2  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.00000 0.50000 -0.50000
-(RA)U3  1    1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 -0.50000 -0.50000
-(RA)U4  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.00000 -0.50000 0.50000
-(RA)U5  1    1.00000 1.00000 1.00000 1.00000 0.00000 -1.00000 0.50000 0.50000



 kpoint  X : 0.000000 0.500000 0.000000  : 1 2 3 4
-(X)Y5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  XA : -0.500000 0.000000 0.000000  : 1 2 3 4
-(XA)X5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2 3 4
-Z2  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.00000 0.50000 -0.50000
-Z3Z5  2    2.00000 -2.00000 0.00000 0.00000
-Z4  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.00000 -0.50000 0.50000
