SG=98.162
 name=I_c4_122
 nsym=16
 spinor=True
symmetries=
       1 0 0 0 1 0 0 0 1    0 0 0     1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0  1
     -1 0 0 0 -1 0 0 0 1    0 0 0    1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5  1
 0 -1 0 1 0 0 0 0 1    0 0.5 0.25  1.0 0.0 0.0 1.0    -0.25 0.0 0.0 0.25  1
 0 1 0 -1 0 0 0 0 1    0 0.5 0.25  1.0 0.0 0.0 1.0    0.25 0.0 0.0 -0.25  1
-1 0 0 0 1 0 0 0 -1    0 0.5 0.25     0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0  1
1 0 0 0 -1 0 0 0 -1    0 0.5 0.25   0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0  1
      0 1 0 1 0 0 0 0 -1    0 0 0 0.0 1.0 1.0 0.0    0.0 -0.75 -0.25 0.0  1
    0 -1 0 -1 0 0 0 0 -1    0 0 0   0.0 1.0 1.0 0.0    0.0 0.75 0.25 0.0  1
     1 0 0 0 1 0 0 0 1    0 0 0.5     1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0 -1
   -1 0 0 0 -1 0 0 0 1    0 0 0.5    1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5 -1
 0 -1 0 1 0 0 0 0 1    0 0.5 0.75  1.0 0.0 0.0 1.0    -0.25 0.0 0.0 0.25 -1
 0 1 0 -1 0 0 0 0 1    0 0.5 0.75  1.0 0.0 0.0 1.0    0.25 0.0 0.0 -0.25 -1
-1 0 0 0 1 0 0 0 -1    0 0.5 0.75     0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0 -1
1 0 0 0 -1 0 0 0 -1    0 0.5 0.75   0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0 -1
    0 1 0 1 0 0 0 0 -1    0 0 0.5 0.0 1.0 1.0 0.0    0.0 -0.75 -0.25 0.0 -1
  0 -1 0 -1 0 0 0 0 -1    0 0 0.5   0.0 1.0 1.0 0.0    0.0 0.75 0.25 0.0 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6 7 8
-GM6  2    2.00000 0.00000 -1.41421 -1.41421 0.00000 0.00000 0.00000 0.00000
-GM7  2    2.00000 0.00000 1.41421 1.41421 0.00000 0.00000 0.00000 0.00000



 kpoint  M : 1.000000 1.000000 1.000000  : 1 2 3 4 5 6 7 8
-M6  2    2.00000 0.00000 -1.41421 1.41421 0.00000 0.00000 0.00000 0.00000
-M7  2    2.00000 0.00000 1.41421 -1.41421 0.00000 0.00000 0.00000 0.00000



 kpoint  N : 0.500000 0.000000 0.500000  : 1 5
-N3  1    1.00000 1.00000 0.00000 -0.50000
-N4  1    1.00000 1.00000 0.00000 0.50000



 kpoint  P : 0.500000 0.500000 0.500000  : 1 2 5 6
-P2  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 0.00000 -0.50000
-P3P5  2    2.00000 2.00000 0.00000 0.00000 0.00000 0.50000 0.00000 0.00000
-P4  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 -1.00000 0.50000



 kpoint  X : 0.500000 0.500000 0.000000  : 1 2 7 8
-X5  2    2.00000 0.00000 0.00000 0.00000
