SG=124.351
 name=P4/mcc
 nsym=16
 spinor=False
symmetries=
     1 0 0 0 1 0 0 0 1    0 0 0 1
   -1 0 0 0 -1 0 0 0 1    0 0 0 1
    0 -1 0 1 0 0 0 0 1    0 0 0 1
    0 1 0 -1 0 0 0 0 1    0 0 0 1
 -1 0 0 0 1 0 0 0 -1    0 0 0.5 1
 1 0 0 0 -1 0 0 0 -1    0 0 0.5 1
  0 1 0 1 0 0 0 0 -1    0 0 0.5 1
0 -1 0 -1 0 0 0 0 -1    0 0 0.5 1
  -1 0 0 0 -1 0 0 0 -1    0 0 0 1
    1 0 0 0 1 0 0 0 -1    0 0 0 1
   0 1 0 -1 0 0 0 0 -1    0 0 0 1
   0 -1 0 1 0 0 0 0 -1    0 0 0 1
  1 0 0 0 -1 0 0 0 1    0 0 0.5 1
  -1 0 0 0 1 0 0 0 1    0 0 0.5 1
 0 -1 0 -1 0 0 0 0 1    0 0 0.5 1
   0 1 0 1 0 0 0 0 1    0 0 0.5 1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
GM1+  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000
GM1-  1    1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000
GM2+  1    1.00000 1.00000 -1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000
GM2-  1    1.00000 1.00000 -1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000 1.00000 1.00000
GM3+  1    1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000
GM3-  1    1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 1.00000
GM4+  1    1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000
GM4-  1    1.00000 1.00000 -1.00000 -1.00000 -1.00000 -1.00000 1.00000 1.00000 -1.00000 -1.00000 1.00000 1.00000 1.00000 1.00000 -1.00000 -1.00000
GM5+  2    2.00000 -2.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 2.00000 -2.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
GM5-  2    2.00000 -2.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -2.00000 2.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
