SG=78.20
 name=P4_31'
 nsym=8
 spinor=True
symmetries=
    1 0 0 0 1 0 0 0 1    0 0 0    1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0  1
-1 0 0 0 -1 0 0 0 1    0 0 0.5   1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5  1
0 -1 0 1 0 0 0 0 1    0 0 0.75 1.0 0.0 0.0 1.0    -0.25 0.0 0.0 0.25  1
0 1 0 -1 0 0 0 0 1    0 0 0.25 1.0 0.0 0.0 1.0    0.25 0.0 0.0 -0.25  1
    1 0 0 0 1 0 0 0 1    0 0 0    1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0 -1
-1 0 0 0 -1 0 0 0 1    0 0 0.5   1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5 -1
0 -1 0 1 0 0 0 0 1    0 0 0.75 1.0 0.0 0.0 1.0    -0.25 0.0 0.0 0.25 -1
0 1 0 -1 0 0 0 0 1    0 0 0.25 1.0 0.0 0.0 1.0    0.25 0.0 0.0 -0.25 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4
-GM5GM7  2    2.00000 0.00000 -1.41421 -1.41421
-GM6GM8  2    2.00000 0.00000 1.41421 1.41421



 kpoint  A : 0.500000 0.500000 0.500000  : 1 2 3 4
-A5A6  2    2.00000 2.00000 0.00000 0.00000
-A7A7  2    2.00000 -2.00000 2.00000 -2.00000
-A8A8  2    2.00000 -2.00000 -2.00000 2.00000



 kpoint  M : 0.500000 0.500000 0.000000  : 1 2 3 4
-M5M7  2    2.00000 0.00000 -1.41421 -1.41421
-M6M8  2    2.00000 0.00000 1.41421 1.41421



 kpoint  R : 0.000000 0.500000 0.500000  : 1 2
-R3R3  2    2.00000 2.00000
-R4R4  2    2.00000 -2.00000



 kpoint  X : 0.000000 0.500000 0.000000  : 1 2
-X3X4  2    2.00000 0.00000



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2 3 4
-Z5Z6  2    2.00000 2.00000 0.00000 0.00000
-Z7Z7  2    2.00000 -2.00000 2.00000 -2.00000
-Z8Z8  2    2.00000 -2.00000 -2.00000 2.00000
