SG=88.84
 name=I4_1/a'
 nsym=8
 spinor=True
symmetries=
           1 0 0 0 1 0 0 0 1    0 0 0    1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0  1
       -1 0 0 0 -1 0 0 0 1    0 0.5 0   1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5  1
 0 -1 0 1 0 0 0 0 1    0.75 0.25 0.25 1.0 0.0 0.0 1.0    -0.25 0.0 0.0 0.25  1
 0 1 0 -1 0 0 0 0 1    0.25 0.25 0.25 1.0 0.0 0.0 1.0    0.25 0.0 0.0 -0.25  1
        -1 0 0 0 -1 0 0 0 -1    0 0 0    1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0 -1
        1 0 0 0 1 0 0 0 -1    0 0.5 0   1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5 -1
0 1 0 -1 0 0 0 0 -1    0.75 0.25 0.25 1.0 0.0 0.0 1.0    -0.25 0.0 0.0 0.25 -1
0 -1 0 1 0 0 0 0 -1    0.25 0.25 0.25 1.0 0.0 0.0 1.0    0.25 0.0 0.0 -0.25 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4
-GM5GM7  2    2.00000 0.00000 -1.41421 -1.41421
-GM6GM8  2    2.00000 0.00000 1.41421 1.41421



 kpoint  M : 1.000000 1.000000 1.000000  : 1 2 3 4
-M5M8  2    2.00000 0.00000 1.41421 1.41421 0.00000 0.00000 -0.50000 -0.50000
-M6M7  2    2.00000 0.00000 1.41421 1.41421 0.00000 0.00000 0.50000 0.50000



 kpoint  N : 0.500000 0.000000 0.500000  : 1
-N2N2  2    2.00000



 kpoint  P : 0.500000 0.500000 0.500000  : 1 2
-P3P3  2    2.00000 2.00000 0.00000 0.50000
-P4P4  2    2.00000 2.00000 0.00000 -0.50000



 kpoint  X : 0.500000 0.500000 0.000000  : 1 2
-X3X3  2    2.00000 2.00000 0.00000 0.50000
-X4X4  2    2.00000 2.00000 0.00000 -0.50000
